Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Nicaragua,Americas,5027,758.84,35,0,170,25.66,1,0,Community transmission
Central African Republic,Africa,4989,1032.97,8,0,63,13.04,0,0,Community transmission
Somalia,Eastern Mediterranean,4854,305.41,70,40,134,8.43,4,2,Community transmission
Curaçao,Americas,4597,28014.6,23,0,21,127.98,1,0,Community transmission
Niger,Africa,4575,189,86,0,164,6.77,5,0,Community transmission
South Sudan,Africa,4355,389.06,394,249,65,5.81,1,0,Community transmission
Benin,Africa,4193,345.87,407,74,55,4.54,7,1,Community transmission
Gambia,Africa,4184,1731.31,94,0,132,54.62,4,0,Community transmission
Gibraltar,Europe,4163,123564.16,81,7,79,2344.84,9,0,Clusters of cases
Sierra Leone,Africa,3759,471.23,377,31,79,9.9,0,0,Community transmission
Chad,Africa,3450,210.03,129,17,124,7.55,6,3,Community transmission
Jersey,Europe,3171,29145.22,31,6,67,615.81,2,0,Community transmission
San Marino,Europe,3127,92138.61,131,2,69,2033.12,4,1,Community transmission
Comoros,Africa,3001,3451.01,355,26,105,120.75,16,0,Community transmission
Guinea-Bissau,Africa,2752,1398.37,138,59,46,23.37,1,0,Community transmission
Liechtenstein,Europe,2588,67860.61,25,0,46,1206.18,0,0,Sporadic cases
United States Virgin Islands,Americas,2449,23452.24,51,0,24,229.83,0,0,Community transmission
Eritrea,Africa,2326,655.87,191,17,7,1.97,0,0,Sporadic cases
Yemen,Eastern Mediterranean,2131,71.45,7,4,616,20.65,0,0,Community transmission
Mongolia,Western Pacific,1989,606.72,247,61,2,0.61,0,0,Clusters of cases
Viet Nam,Western Pacific,1985,20.39,204,9,35,0.36,0,0,Clusters of cases
New Zealand,Western Pacific,1964,407.28,17,5,25,5.18,0,0,Clusters of cases
Liberia,Africa,1945,384.56,6,0,84,16.61,0,0,Community transmission
Sint Maarten,Americas,1911,44564.15,89,0,27,629.63,0,0,Community transmission
Saint Lucia,Americas,1813,9873.28,618,257,18,98.02,5,0,Sporadic cases
Burundi,Africa,1717,144.4,104,19,3,0.25,1,0,Community transmission
Barbados,Americas,1676,5832.1,178,20,18,62.64,6,0,Community transmission
Turks and Caicos Islands,Americas,1654,42719.15,195,64,9,232.45,1,0,Clusters of cases
Monaco,Europe,1625,41407.6,168,29,19,484.15,7,1,Sporadic cases
Sao Tome and Principe,Africa,1334,6086.9,89,59,18,82.13,1,1,Community transmission
Saint Martin,Americas,1289,33342.82,0,0,12,310.41,0,0,Community transmission
Seychelles,Africa,1289,13106.65,132,10,5,50.84,2,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,1170,10546.24,274,0,3,27.04,1,0,Clusters of cases
Papua New Guinea,Western Pacific,894,99.92,43,0,9,1.01,0,0,Community transmission
Bhutan,South-East Asia,861,1115.85,3,0,1,1.3,0,0,Clusters of cases
Other,Other,745,,0,0,13,,0,0,Not applicable
Bermuda,Americas,692,11112.36,1,0,12,192.7,0,0,Sporadic cases
Guernsey,Europe,672,10633.58,258,21,13,205.71,0,0,Community transmission
Faroe Islands,Europe,655,13404.28,1,0,1,20.46,0,0,Sporadic cases
Mauritius,Africa,584,459.2,16,0,10,7.86,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Pending
Cambodia,Western Pacific,474,28.35,9,2,0,0,0,0,Sporadic cases
Isle of Man,Europe,434,5103.96,2,0,25,294.01,0,0,No cases
Cayman Islands,Americas,405,6162.51,15,0,2,30.43,0,0,Sporadic cases
Saint Barthélemy,Americas,379,38340.92,0,0,0,0,0,0,Sporadic cases
Bonaire,Americas,366,17499.4,4,0,3,143.44,0,0,Community transmission
Antigua and Barbuda,Americas,277,2828.58,59,0,7,71.48,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,181,413.73,1,0,3,6.86,0,0,Sporadic cases
Grenada,Americas,148,1315.29,0,0,1,8.89,0,0,Sporadic cases
British Virgin Islands,Americas,141,4663.16,0,0,1,33.07,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,133,2310.75,1,0,2,34.75,0,0,Pending
Dominica,Americas,121,1680.77,4,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,80,60.68,10,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,56,62.47,1,0,2,2.23,0,0,Sporadic cases
New Caledonia,Western Pacific,49,171.63,2,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,45,6.19,1,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,44,12632.79,4,0,0,0,0,0,No cases
Saint Kitts and Nevis,Americas,40,751.99,3,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,528.43,0,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,4141.5,0,0,0,0,0,0,Clusters of cases
Sint Eustatius,Americas,20,6371.46,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,17,1133.18,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,6,3103.98,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,5,444.6,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Samoa,Western Pacific,3,15.12,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
